block,district,100%_conversion_pv_size,100%_conversion_avg_vehicles_served_daily,100%_conversion_tot_vehicles_served_yearly,pv_capex_usd,pv_capex_inr_lakh
Dubrajpur,Birbhum,270,67,24565,280800,240.28055999999995
Illambazar,Birbhum,213,52,19339,221520,189.55466399999997
Khoyrasol,Birbhum,194,48,17598,201760,172.646032
Labpur,Birbhum,319,79,29043,331760,283.887032
Mayureswar-I,Birbhum,258,64,23453,268320,229.60142399999998
Mayureswar-Ii,Birbhum,221,54,20061,229840,196.67408799999998
Mohammad Bazar,Birbhum,270,67,24565,280800,240.28055999999995
Murarai-I,Birbhum,315,78,28682,327600,280.32732
Murarai-Ii,Birbhum,372,92,33895,386880,331.05321599999996
Nalhati-I,Birbhum,285,71,25935,296400,253.62947999999997
Nalhati-Ii,Birbhum,239,59,21723,248560,212.692792
Nanoor,Birbhum,342,85,31147,355680,304.355376
Rajnagar,Birbhum,111,27,9993,115440,98.78200799999999
Rampurhat-I,Birbhum,315,78,28682,327600,280.32732
Rampurhat-Ii,Birbhum,327,81,29779,340080,291.00645599999996
Sainthia,Birbhum,338,84,30783,351520,300.795664
Suri-I,Birbhum,668,167,61003,694720,594.471904
Suri-Ii,Birbhum,186,46,16865,193440,165.52660799999998
Bhagawanpur-I,Purba Medinipur,403,99,36183,419120,358.640984
Bhagawanpur-Ii,Purba Medinipur,249,61,22294,258960,221.592072
Chandipur,Purba Medinipur,318,78,28517,330720,282.997104
Contai-I,Purba Medinipur,399,98,35823,414960,355.08127199999996
Contai-Iii,Purba Medinipur,200,48,17870,208000,177.9856
Deshapran,Purba Medinipur,192,46,17152,199680,170.86617599999997
Egra-I,Purba Medinipur,345,84,30951,358800,307.02515999999997
Egra-Ii,Purba Medinipur,288,70,25813,299520,256.299264
Haldia,Purba Medinipur,295,72,26440,306800,262.52876
Khejuri-I,Purba Medinipur,288,70,25813,299520,256.299264
Khejuri-Ii,Purba Medinipur,276,67,24728,287040,245.62012799999997
Kolaghat,Purba Medinipur,747,184,67223,776880,664.776216
Mahishadal,Purba Medinipur,322,79,28883,334880,286.55681599999997
Moyna,Purba Medinipur,361,88,32381,375440,321.264008
Nandakumar,Purba Medinipur,479,117,43027,498160,426.27551199999994
Nandigram-I,Purba Medinipur,338,83,30318,351520,300.795664
Nandigram-Ii,Purba Medinipur,112,27,9935,116480,99.671936
Panskura-I,Purba Medinipur,395,97,35459,410800,351.52156
Patashpur-I,Purba Medinipur,269,66,24091,279760,239.39063199999998
Patashpur-Ii,Purba Medinipur,353,86,31678,367120,314.144584
Ramnagar-I,Purba Medinipur,384,94,34467,399360,341.73235199999993
Ramnagar-Ii,Purba Medinipur,230,56,20576,239200,204.68344
Shahid Matangini,Purba Medinipur,506,124,45478,526240,450.303568
Sutahata,Purba Medinipur,131,31,11645,136240,116.58056799999999
Tamluk,Purba Medinipur,694,171,62438,721760,617.6100319999999
Amdanga,North Twenty Four Parganas,636,152,55663,661440,565.994208
Baduria,North Twenty Four Parganas,1107,265,97000,1151280,985.1502959999999
Bagda,North Twenty Four Parganas,844,202,73928,877760,751.0992319999999
Barasat-I,North Twenty Four Parganas,1079,259,94557,1122160,960.2323119999999
Barasat-Ii,North Twenty Four Parganas,312,74,27219,324480,277.657536
Barrackpur-I,North Twenty Four Parganas,1635,392,143366,1700400,1455.03228
Barrackpur-Ii,North Twenty Four Parganas,12387,2978,1087240,12882480,11023.538136
Basirhat-I,North Twenty Four Parganas,1043,250,91387,1084720,928.194904
Basirhat-Ii,North Twenty Four Parganas,736,176,64443,765440,654.987008
Bongaon,North Twenty Four Parganas,1559,374,136693,1621360,1387.3977519999999
Gaighata,North Twenty Four Parganas,1323,317,115970,1375920,1177.374744
Habra-I,North Twenty Four Parganas,1091,261,95596,1134640,970.911448
Habra-Ii,North Twenty Four Parganas,431,103,37667,448240,383.558968
Haroa,North Twenty Four Parganas,607,145,53116,631280,540.186296
Hasnabad,North Twenty Four Parganas,692,165,60570,719680,615.8301759999999
Hingalganj,North Twenty Four Parganas,852,204,74620,886080,758.2186559999999
Minakhan,North Twenty Four Parganas,756,181,66198,786240,672.785568
Rajarhat,North Twenty Four Parganas,6945,1669,609498,7222800,6180.54996
Sandeshkhali-I,North Twenty Four Parganas,636,152,55663,661440,565.994208
Sandeshkhali-Ii,North Twenty Four Parganas,552,132,48290,574080,491.24025599999993
Swarupnagar,North Twenty Four Parganas,939,225,82257,976560,835.6423919999999
Deganga,North Twenty Four Parganas,1135,272,99461,1180400,1010.0682799999998
Chandrakona-I,Paschim Medinipur,95,23,8511,98800,84.54316
Chandrakona-Ii,Paschim Medinipur,69,16,6143,71760,61.40503199999999
Dantan-I,Paschim Medinipur,84,20,7517,87360,74.753952
Dantan-Ii,Paschim Medinipur,129,31,11614,134160,114.80071199999999
Daspur-I,Paschim Medinipur,133,32,11989,138320,118.36042399999998
Daspur-Ii,Paschim Medinipur,125,30,11254,130000,111.241
Debra,Paschim Medinipur,190,47,17196,197600,169.08632
Garbeta-I,Paschim Medinipur,140,34,12621,145600,124.58991999999998
Garbeta-Ii,Paschim Medinipur,80,19,7139,83200,71.19424
Garbeta-Iii,Paschim Medinipur,114,28,10254,118560,101.451792
Ghatal,Paschim Medinipur,129,31,11614,134160,114.80071199999999
Keshiary,Paschim Medinipur,91,22,8141,94640,80.983448
Keshpur,Paschim Medinipur,220,54,19932,228800,195.78416
Kharagpur-I,Paschim Medinipur,390,97,35475,405600,347.07192
Kharagpur-Ii,Paschim Medinipur,212,52,19187,220480,188.66473599999998
Midnapore,Paschim Medinipur,114,28,10254,118560,101.451792
Mohanpur,Paschim Medinipur,76,18,6780,79040,67.634528
Narayangarh,Paschim Medinipur,190,47,17196,197600,169.08632
Pingla,Paschim Medinipur,110,27,9871,114400,97.89208
Sabang,Paschim Medinipur,152,37,13715,158080,135.269056
Salbani,Paschim Medinipur,122,30,10971,126880,108.57121599999999
Beldanga-I,Murshidabad,389,95,34780,404560,346.181992
Beldanga-Ii,Murshidabad,358,87,31995,372320,318.594224
Berhampore,Murshidabad,1120,275,100456,1164800,996.7193599999998
Bhagabangola-Ii,Murshidabad,125,30,11062,130000,111.241
Bhagawangola-I,Murshidabad,125,30,11062,130000,111.241
Bharatpur-I,Murshidabad,168,40,14935,174720,149.507904
Bharatpur-Ii,Murshidabad,222,54,19774,230880,197.56401599999998
Burwan,Murshidabad,284,69,25350,295360,252.739552
Domkal,Murshidabad,405,99,36212,421200,360.42084
Farakka,Murshidabad,304,74,27143,316160,270.538112
Hariharpara,Murshidabad,339,82,30288,352560,301.685592
Jalangi,Murshidabad,207,50,18430,215280,184.215096
Kandi,Murshidabad,257,62,22928,267280,228.71149599999998
Khargram,Murshidabad,312,76,27861,324480,277.657536
Lalgola,Murshidabad,304,74,27143,316160,270.538112
Murshidabad-Jiagunj,Murshidabad,312,76,27861,324480,277.657536
Nabagram,Murshidabad,300,73,26784,312000,266.97839999999997
Nawda,Murshidabad,292,71,26066,303680,259.858976
Raghunathganj-I,Murshidabad,245,59,21839,254800,218.03236
Raghunathganj-Ii,Murshidabad,218,53,19413,226720,194.004304
Raninagar-I,Murshidabad,172,41,15286,178880,153.067616
Raninagar-Ii,Murshidabad,148,35,13125,153920,131.709344
Sagardighi,Murshidabad,343,83,30641,356720,305.245304
Shamsherganj,Murshidabad,249,60,22203,258960,221.592072
Suti-I,Murshidabad,296,72,26425,307840,263.418688
Suti-Ii,Murshidabad,245,59,21839,254800,218.03236
Chopra,Uttar Dinajpur,227,54,19925,236080,202.01365599999997
Goalpokhar Ii,Uttar Dinajpur,259,62,22756,269360,230.491352
Goalpokhar-I,Uttar Dinajpur,255,61,22404,265200,226.93164
Hemtabad,Uttar Dinajpur,123,29,10715,127920,109.46114399999999
Islampur,Uttar Dinajpur,242,58,21249,251680,215.362576
Itahar,Uttar Dinajpur,267,64,23456,277680,237.610776
Kaliaganj,Uttar Dinajpur,211,50,18511,219440,187.77480799999998
Karandighi,Uttar Dinajpur,358,86,31518,372320,318.594224
Raiganj,Uttar Dinajpur,744,179,65681,773760,662.1064319999999
Bamongola,Maldah,229,56,20774,238160,203.793512
Chanchal-I,Maldah,406,101,36966,422240,361.310768
Chanchal-Ii,Maldah,413,103,37604,429520,367.540264
English Bazar,Maldah,1058,264,96586,1100320,941.5438239999999
Gazole,Maldah,653,163,59549,679120,581.122984
Habibpur,Maldah,398,99,36220,413920,354.19134399999996
Harishchandrapur-I,Maldah,394,98,35861,409760,350.63163199999997
Harishchandrapur-Ii,Maldah,421,104,38324,437840,374.65968799999996
Kaliachak-I,Maldah,271,67,24611,281840,241.17048799999998
Kaliachak-Ii,Maldah,331,82,30103,344240,294.56616799999995
Kaliachak-Iii,Maldah,638,159,58183,663520,567.774064
Manikchak,Maldah,192,47,17384,199680,170.86617599999997
Old Malda,Maldah,567,141,51683,589680,504.58917599999995
Ratua-I,Maldah,466,116,42449,484640,414.70644799999997
Ratua-Ii,Maldah,402,100,36595,418080,357.75105599999995
Ausgram-I,Barddhaman,39,9,3370,40560,34.707192
Ausgram-Ii,Barddhaman,81,19,7181,84240,72.08416799999999
Bhatar,Barddhaman,199,49,17897,206960,177.09567199999998
Burdwan-I,Barddhaman,157,38,14086,163280,139.718696
Burdwan-Ii,Barddhaman,115,28,10276,119600,102.34172
Galsi -I,Barddhaman,176,43,15813,183040,156.62732799999998
Galsi-Ii,Barddhaman,111,27,9905,115440,98.78200799999999
Jamal Pur,Barddhaman,168,41,15085,174720,149.507904
Kalna Ii,Barddhaman,168,41,15085,174720,149.507904
Kalna-I,Barddhaman,96,23,8548,99840,85.43308799999998
Katwa-I,Barddhaman,103,25,9177,107120,91.66258399999998
Katwa-Ii,Barddhaman,96,23,8548,99840,85.43308799999998
Ketugram-Ii,Barddhaman,96,23,8548,99840,85.43308799999998
Ketugram_I,Barddhaman,130,31,11634,135200,115.69064
Khandaghosh,Barddhaman,103,25,9177,107120,91.66258399999998
Mangolkote,Barddhaman,183,45,16457,190320,162.856824
Manteswar,Barddhaman,187,46,16810,194480,166.41653599999998
Memari-1,Barddhaman,96,23,8548,99840,85.43308799999998
Memari-Ii,Barddhaman,168,41,15085,174720,149.507904
Purbasthali-I,Barddhaman,138,33,12356,143520,122.81006399999998
Purbasthali-Ii,Barddhaman,153,37,13729,159120,136.15898399999998
Raina-I,Barddhaman,119,29,10642,123760,105.90143199999999
Raina-Ii,Barddhaman,103,25,9177,107120,91.66258399999998
Baruipur,South Twenty Four Parganas,938,231,84548,975520,834.7524639999999
Basanti,South Twenty Four Parganas,813,200,73256,845520,723.5114639999999
Bhangar-I,South Twenty Four Parganas,707,174,63678,735280,629.179096
Bhangar-Ii,South Twenty Four Parganas,524,129,47159,544960,466.32227199999994
Bishnupur-I,South Twenty Four Parganas,654,161,58889,680160,582.0129119999999
Bishnupur-Ii,South Twenty Four Parganas,395,97,35511,410800,351.52156
Budge Budge-I,South Twenty Four Parganas,517,127,46527,537680,460.09277599999996
Budge Budge-Ii,South Twenty Four Parganas,486,119,43720,505440,432.505008
Canning-I,South Twenty Four Parganas,460,113,41377,478400,409.36688
Canning-Ii,South Twenty Four Parganas,938,231,84548,975520,834.7524639999999
Diamond Harbour-I,South Twenty Four Parganas,471,116,42365,489840,419.15608799999995
Diamond Harbour-Ii,South Twenty Four Parganas,342,84,30715,355680,304.355376
Falta,South Twenty Four Parganas,642,158,57809,667680,571.333776
Gosaba,South Twenty Four Parganas,767,189,69099,797680,682.5747759999999
Jaynagar-I,South Twenty Four Parganas,521,128,46876,541840,463.65248799999995
Jaynagar-Ii,South Twenty Four Parganas,528,130,47506,549120,469.881984
Kak Dwip,South Twenty Four Parganas,464,114,41736,482560,412.92659199999997
Kulpi,South Twenty Four Parganas,669,165,60242,695760,595.3618319999999
Kultali,South Twenty Four Parganas,786,194,70826,817440,699.4834079999999
Magra Hat-I,South Twenty Four Parganas,559,137,50318,581360,497.46975199999997
Magra Hat-Ii,South Twenty Four Parganas,900,222,81110,936000,800.9352
Mandirbazar,South Twenty Four Parganas,452,111,40651,470080,402.24745599999994
Mathurapur I,South Twenty Four Parganas,505,124,45443,525200,449.41364
Mathurapur-Ii,South Twenty Four Parganas,376,92,33789,391040,334.61292799999995
Namkhana,South Twenty Four Parganas,494,121,44447,513760,439.62443199999996
Pathar Pratima,South Twenty Four Parganas,942,232,84903,979680,838.3121759999999
Sagar,South Twenty Four Parganas,437,107,39291,454480,388.8985359999999
Sonar Pur,South Twenty Four Parganas,1238,305,111650,1287520,1101.7308639999999
Thakurpukur Mahestola,South Twenty Four Parganas,2013,497,181632,2093520,1791.4250639999998
Kolkata,Kolkata,52806,12726,4645276,54918240,46993.53796799999
Arsha,Puruliya,111,28,10267,115440,98.78200799999999
Bagmundi,Puruliya,103,26,9510,107120,91.66258399999998
Balarampur,Puruliya,92,23,8483,95680,81.873376
Barabazar,Puruliya,118,29,10923,122720,105.01150399999999
Bundwan,Puruliya,81,20,7443,84240,72.08416799999999
Hura,Puruliya,129,32,11962,134160,114.80071199999999
Jaipur,Puruliya,78,19,7163,81120,69.414384
Jhalda-I,Puruliya,111,28,10267,115440,98.78200799999999
Jhalda-Ii,Puruliya,63,15,5763,65520,56.06546399999999
Kashipur,Puruliya,140,35,12981,145600,124.58991999999998
Manbazar-I,Puruliya,111,28,10267,115440,98.78200799999999
Manbazar-Ii,Puruliya,81,20,7443,84240,72.08416799999999
Neturia,Puruliya,85,21,7818,88400,75.64388
Para,Puruliya,148,37,13744,153920,131.709344
Puncha,Puruliya,78,19,7163,81120,69.414384
Purulia-I,Puruliya,85,21,7818,88400,75.64388
Purulia-Ii,Puruliya,258,66,24093,268320,229.60142399999998
Raghunath Pur-I,Puruliya,81,20,7443,84240,72.08416799999999
Raghunathpur-Ii,Puruliya,59,14,5380,61360,52.505751999999994
Santuri,Puruliya,48,11,4335,49920,42.71654399999999
Darjeeling-Pulbazar,Darjiling,95,22,8142,98800,84.54316
Jore Bunglow-Sukiapokhri,Darjiling,35,7,2898,36400,31.147479999999995
Kharibari,Darjiling,18,3,1416,18720,16.018704
Kurseong,Darjiling,22,4,1745,22880,19.578415999999997
Matigara,Darjiling,27,6,2198,28080,24.028055999999996
Mirik,Darjiling,14,2,1064,14560,12.458992
Naxal Bari,Darjiling,31,6,2539,32240,27.587767999999997
Phansidewa,Darjiling,35,7,2898,36400,31.147479999999995
Rangli Rangliot,Darjiling,18,3,1416,18720,16.018704
Siliguri,Darjiling,18,3,1416,18720,16.018704
Balurghat,Dakshin Dinajpur,982,240,87958,1021280,873.9092959999999
Bansihari,Dakshin Dinajpur,327,79,29181,340080,291.00645599999996
Gangarampur,Dakshin Dinajpur,462,113,41301,480480,411.1467359999999
Harirampur,Dakshin Dinajpur,358,87,31974,372320,318.594224
Hili,Dakshin Dinajpur,131,31,11590,136240,116.58056799999999
Kumarganj,Dakshin Dinajpur,296,72,26393,307840,263.418688
Kushmandi,Dakshin Dinajpur,408,99,36460,424320,363.090624
Tapan,Dakshin Dinajpur,613,150,54847,637520,545.525864
Gorubathan,Kalimpong,0,0,0,0,0.0
Kalimpong-I,Kalimpong,0,0,0,0,0.0
Kalimpong-Ii,Kalimpong,0,0,0,0,0.0
Chakdah,Nadia,758,188,68643,788320,674.5654239999999
Chapra,Nadia,853,211,77263,887120,759.108584
Hanskhali,Nadia,1057,262,95799,1099280,940.6538959999999
Haringhata,Nadia,573,142,51850,595920,509.928744
Kaliganj,Nadia,997,247,90350,1036880,887.258216
Kalyani,Nadia,330,81,29792,343200,293.67623999999995
Karimpur-1,Nadia,489,121,44227,508560,435.17479199999997
Karimpur-Ii,Nadia,588,145,53210,611520,523.277664
Krishnaganj,Nadia,379,93,34233,394160,337.28271199999995
Krishnagar-I,Nadia,2872,713,260574,2986880,2555.873216
Krishnagar-Ii,Nadia,663,164,60024,689520,590.022264
Nabadwip,Nadia,360,89,32507,374400,320.37407999999994
Nakashipara,Nadia,1118,277,101328,1162720,994.9395039999999
Ranaghat-I,Nadia,497,123,44956,516880,442.29421599999995
Ranaghat-Ii,Nadia,1262,313,114408,1312480,1123.089136
Santipur,Nadia,663,164,60024,689520,590.022264
Tehatta-I,Nadia,413,102,37321,429520,367.540264
Tehatta-Ii,Nadia,603,149,54566,627120,536.626584
Asansol,Paschim Barddhaman,4081,1012,369730,4244240,3631.7961679999994
Barabani,Paschim Barddhaman,107,26,9531,111280,95.222296
Faridpur - Durgapur,Paschim Barddhaman,165,40,14767,171600,146.83811999999998
Jamuria,Paschim Barddhaman,238,58,21399,247520,211.80286399999997
Kanksa,Paschim Barddhaman,679,168,61365,706160,604.2611119999999
Ondal,Paschim Barddhaman,154,37,13784,160160,137.048912
Pandaveswar,Paschim Barddhaman,372,91,33540,386880,331.05321599999996
Raniganj,Paschim Barddhaman,280,69,25217,291200,249.17983999999996
Salanpur,Paschim Barddhaman,253,62,22769,263120,225.151784
Arambagh,Hugli,678,164,59932,705120,603.371184
Balagarh,Hugli,544,131,48059,565760,484.12083199999995
Chanditala-I,Hugli,355,85,31293,369200,315.92443999999995
Chanditala-Ii,Hugli,402,97,35470,418080,357.75105599999995
Chinsurah-Magrah,Hugli,3194,775,282941,3321760,2842.4300319999998
Dhaniakhali,Hugli,831,201,73478,864240,739.530168
Goghat-I,Hugli,237,57,20823,246480,210.91293599999997
Goghat-Ii,Hugli,398,96,35108,413920,354.19134399999996
Haripal,Hugli,560,135,49475,582400,498.3596799999999
Jangipara,Hugli,504,121,44501,524160,448.52371199999993
Khanakul-I,Hugli,615,148,54338,639600,547.30572
Khanakul-Ii,Hugli,300,72,26422,312000,266.97839999999997
Pandua,Hugli,839,203,74187,872560,746.6495919999999
Polba-Dadpur,Hugli,768,186,67906,798720,683.4647039999999
Pursurah,Hugli,288,69,25360,299520,256.299264
Singur,Hugli,611,147,53992,635440,543.746008
Sirampur-Uttarpara,Hugli,752,182,66480,782080,669.2258559999999
Tarakeswar,Hugli,524,126,46276,544960,466.32227199999994
Amta-I,Haora,220,54,19751,228800,195.78416
Amta-Ii,Haora,88,21,7794,91520,78.31366399999999
Bagnan-I,Haora,152,37,13586,158080,135.269056
Bagnan-Ii,Haora,106,25,9425,110240,94.33236799999999
Bally-Jagacha,Haora,757,187,68358,787280,673.675496
Domjur,Haora,190,46,17010,197600,169.08632
Jagatballavpur,Haora,216,53,19384,224640,192.22444799999997
Panchla,Haora,129,31,11513,134160,114.80071199999999
Sankrail-H,Haora,186,45,16674,193440,165.52660799999998
Shyampur-I,Haora,144,35,12875,149760,128.149632
Shyampur-Ii,Haora,175,42,15666,182000,155.73739999999998
Udaynarayanpur,Haora,129,31,11513,134160,114.80071199999999
Uluberia-I,Haora,212,52,19021,220480,188.66473599999998
Uluberia-Ii,Haora,95,23,8420,98800,84.54316
Dhupguri,Jalpaiguri,975,232,84812,1014000,867.6798
Jalpaiguri,Jalpaiguri,1445,344,125794,1502800,1285.9459599999998
Mal,Jalpaiguri,707,168,61461,735280,629.179096
Matiali,Jalpaiguri,193,45,16654,200720,171.756104
Maynaguri,Jalpaiguri,731,174,63553,760240,650.537368
Nagrakata,Jalpaiguri,137,32,11778,142480,121.920136
Rajganj,Jalpaiguri,739,176,64241,768560,657.656792
Binpur-I,Jhargram,45,10,4000,46800,40.04675999999999
Binpur-Ii,Jhargram,94,23,8543,97760,83.65323199999999
Gopiballav Pur -Ii,Jhargram,38,9,3351,39520,33.817264
Gopiballavpur-I,Jhargram,42,10,3726,43680,37.376976
Jambani,Jhargram,42,10,3726,43680,37.376976
Jhargram,Jhargram,64,15,5764,66560,56.95539199999999
Nayagram,Jhargram,57,14,5116,59280,50.725896
Sankrail-J,Jhargram,42,10,3726,43680,37.376976
