block,district,30%_conversion_pv_size,30%_conversion_avg_vehicles_served_daily,30%_conversion_tot_vehicles_served_yearly,pv_capex_usd,pv_capex_inr_lakh
Nabagram,Murshidabad,152,36,13487,158080,135.269056
Nawda,Murshidabad,148,35,13125,153920,131.709344
Raghunathganj-I,Murshidabad,125,30,11062,130000,111.241
Raghunathganj-Ii,Murshidabad,113,27,9980,117520,100.56186399999999
Raninagar-I,Murshidabad,90,21,7921,93600,80.09351999999998
Raninagar-Ii,Murshidabad,74,17,6477,76960,65.854672
Sagardighi,Murshidabad,175,42,15556,182000,155.73739999999998
Shamsherganj,Murshidabad,129,31,11423,134160,114.80071199999999
Suti-I,Murshidabad,152,36,13487,158080,135.269056
Suti-Ii,Murshidabad,125,30,11062,130000,111.241
Chopra,Uttar Dinajpur,92,21,7983,95680,81.873376
Goalpokhar Ii,Uttar Dinajpur,104,24,9032,108160,92.552512
Goalpokhar-I,Uttar Dinajpur,104,24,9032,108160,92.552512
Hemtabad,Uttar Dinajpur,48,11,4077,49920,42.71654399999999
Islampur,Uttar Dinajpur,96,22,8315,99840,85.43308799999998
Itahar,Uttar Dinajpur,108,25,9385,112320,96.11222399999998
Kaliaganj,Uttar Dinajpur,84,19,7263,87360,74.753952
Karandighi,Uttar Dinajpur,139,33,12135,144560,123.699992
Raiganj,Uttar Dinajpur,291,70,25584,302640,258.969048
Bamongola,Maldah,91,22,8148,94640,80.983448
Chanchal-I,Maldah,162,40,14635,168480,144.16833599999998
Chanchal-Ii,Maldah,162,40,14635,168480,144.16833599999998
English Bazar,Maldah,417,104,37973,433680,371.0999759999999
Gazole,Maldah,259,64,23515,269360,230.491352
Habibpur,Maldah,158,39,14279,164320,140.608624
Harishchandrapur-I,Maldah,158,39,14279,164320,140.608624
Harishchandrapur-Ii,Maldah,169,41,15283,175760,150.397832
Kaliachak-I,Maldah,109,26,9795,113360,97.002152
Kaliachak-Ii,Maldah,132,32,11898,137280,117.470496
Kaliachak-Iii,Maldah,252,62,22879,262080,224.26185599999997
Manikchak,Maldah,79,19,7044,82160,70.304312
Old Malda,Maldah,226,56,20506,235040,201.12372799999997
Ratua-I,Maldah,184,45,16658,191360,163.746752
Ratua-Ii,Maldah,158,39,14279,164320,140.608624
Ausgram-I,Barddhaman,16,3,1284,16640,14.238847999999997
Ausgram-Ii,Barddhaman,31,7,2648,32240,27.587767999999997
Bhatar,Barddhaman,77,18,6823,80080,68.524456
Burdwan-I,Barddhaman,61,14,5372,63440,54.285607999999996
Burdwan-Ii,Barddhaman,46,10,4013,47840,40.936688
Galsi -I,Barddhaman,65,15,5736,67600,57.84532
Galsi-Ii,Barddhaman,42,9,3642,43680,37.376976
Jamal Pur,Barddhaman,61,14,5372,63440,54.285607999999996
Kalna Ii,Barddhaman,61,14,5372,63440,54.285607999999996
Kalna-I,Barddhaman,39,9,3370,40560,34.707192
Katwa-I,Barddhaman,39,9,3370,40560,34.707192
Katwa-Ii,Barddhaman,39,9,3370,40560,34.707192
Ketugram-Ii,Barddhaman,39,9,3370,40560,34.707192
Ketugram_I,Barddhaman,50,11,4367,52000,44.4964
Khandaghosh,Barddhaman,39,9,3370,40560,34.707192
Mangolkote,Barddhaman,69,16,6097,71760,61.40503199999999
Manteswar,Barddhaman,69,16,6097,71760,61.40503199999999
Memari-1,Barddhaman,39,9,3370,40560,34.707192
Memari-Ii,Barddhaman,61,14,5372,63440,54.285607999999996
Purbasthali-I,Barddhaman,54,12,4726,56160,48.05611199999999
Purbasthali-Ii,Barddhaman,58,13,5090,60320,51.615823999999996
Raina-I,Barddhaman,46,10,4013,47840,40.936688
Raina-Ii,Barddhaman,39,9,3370,40560,34.707192
Baruipur,South Twenty Four Parganas,293,72,26297,304720,260.748904
Basanti,South Twenty Four Parganas,255,62,22856,265200,226.93164
Bhangar-I,South Twenty Four Parganas,221,54,19790,229840,196.67408799999998
Bhangar-Ii,South Twenty Four Parganas,164,40,14639,170560,145.948192
Bishnupur-I,South Twenty Four Parganas,206,50,18431,214240,183.32516799999996
Bishnupur-Ii,South Twenty Four Parganas,126,30,11212,131040,112.13092799999998
Budge Budge-I,South Twenty Four Parganas,164,40,14639,170560,145.948192
Budge Budge-Ii,South Twenty Four Parganas,152,37,13555,158080,135.269056
Canning-I,South Twenty Four Parganas,145,35,12921,150800,129.03956
Canning-Ii,South Twenty Four Parganas,293,72,26297,304720,260.748904
Diamond Harbour-I,South Twenty Four Parganas,149,36,13294,154960,132.59927199999998
Diamond Harbour-Ii,South Twenty Four Parganas,107,25,9482,111280,95.222296
Falta,South Twenty Four Parganas,202,49,18071,210080,179.76545599999997
Gosaba,South Twenty Four Parganas,240,58,21501,249600,213.58272
Jaynagar-I,South Twenty Four Parganas,164,40,14639,170560,145.948192
Jaynagar-Ii,South Twenty Four Parganas,168,41,14995,174720,149.507904
Kak Dwip,South Twenty Four Parganas,145,35,12921,150800,129.03956
Kulpi,South Twenty Four Parganas,209,51,18706,217360,185.99495199999998
Kultali,South Twenty Four Parganas,247,60,22139,256880,219.81221599999998
Magra Hat-I,South Twenty Four Parganas,175,42,15631,182000,155.73739999999998
Magra Hat-Ii,South Twenty Four Parganas,281,69,25209,292240,250.06976799999998
Mandirbazar,South Twenty Four Parganas,145,35,12921,150800,129.03956
Mathurapur I,South Twenty Four Parganas,160,39,14268,166400,142.38848
Mathurapur-Ii,South Twenty Four Parganas,118,28,10487,122720,105.01150399999999
Namkhana,South Twenty Four Parganas,156,38,13913,162240,138.828768
Pathar Pratima,South Twenty Four Parganas,297,72,26638,308880,264.308616
Sagar,South Twenty Four Parganas,137,33,12202,142480,121.920136
Sonar Pur,South Twenty Four Parganas,388,95,34867,403520,345.292064
Thakurpukur Mahestola,South Twenty Four Parganas,627,154,56460,652080,557.9848559999999
Kolkata,Kolkata,16648,4012,1464391,17313920,14815.521343999999
Arsha,Puruliya,41,10,3689,42640,36.487048
Bagmundi,Puruliya,37,9,3308,38480,32.927336
Balarampur,Puruliya,34,8,3026,35360,30.257551999999997
Barabazar,Puruliya,45,11,4052,46800,40.04675999999999
Bundwan,Puruliya,30,7,2649,31200,26.69784
Hura,Puruliya,48,11,4335,49920,42.71654399999999
Jaipur,Puruliya,30,7,2649,31200,26.69784
Jhalda-I,Puruliya,41,10,3689,42640,36.487048
Jhalda-Ii,Puruliya,26,6,2284,27040,23.138128
Kashipur,Puruliya,52,12,4724,54080,46.276256
Manbazar-I,Puruliya,41,10,3689,42640,36.487048
Manbazar-Ii,Puruliya,30,7,2649,31200,26.69784
Neturia,Puruliya,34,8,3026,35360,30.257551999999997
Para,Puruliya,52,12,4724,54080,46.276256
Puncha,Puruliya,30,7,2649,31200,26.69784
Purulia-I,Puruliya,34,8,3026,35360,30.257551999999997
Purulia-Ii,Puruliya,92,23,8483,95680,81.873376
Raghunath Pur-I,Puruliya,30,7,2649,31200,26.69784
Raghunathpur-Ii,Puruliya,23,5,1998,23920,20.468344
Santuri,Puruliya,19,4,1609,19760,16.908632
Darjeeling-Pulbazar,Darjiling,94,22,8051,97760,83.65323199999999
Jore Bunglow-Sukiapokhri,Darjiling,34,7,2796,35360,30.257551999999997
Kharibari,Darjiling,17,3,1322,17680,15.128775999999998
Kurseong,Darjiling,21,4,1668,21840,18.688488
Matigara,Darjiling,26,5,2097,27040,23.138128
Mirik,Darjiling,13,2,968,13520,11.569064
Naxal Bari,Darjiling,30,6,2446,31200,26.69784
Phansidewa,Darjiling,34,7,2796,35360,30.257551999999997
Rangli Rangliot,Darjiling,17,3,1322,17680,15.128775999999998
Siliguri,Darjiling,17,3,1322,17680,15.128775999999998
Balurghat,Dakshin Dinajpur,301,73,26845,313040,267.86832799999996
Bansihari,Dakshin Dinajpur,104,25,9153,108160,92.552512
Gangarampur,Dakshin Dinajpur,143,34,12670,148720,127.25970399999999
Harirampur,Dakshin Dinajpur,112,27,9888,116480,99.671936
Hili,Dakshin Dinajpur,43,10,3694,44720,38.266904
Kumarganj,Dakshin Dinajpur,93,22,8180,96720,82.76330399999999
Kushmandi,Dakshin Dinajpur,127,30,11226,132080,113.020856
Tapan,Dakshin Dinajpur,189,46,16795,196560,168.196392
Gorubathan,Kalimpong,0,0,0,0,0.0
Kalimpong-I,Kalimpong,0,0,0,0,0.0
Kalimpong-Ii,Kalimpong,0,0,0,0,0.0
Chakdah,Nadia,254,62,22892,264160,226.041712
Chapra,Nadia,288,71,25978,299520,256.299264
Hanskhali,Nadia,353,87,31882,367120,314.144584
Haringhata,Nadia,194,47,17438,201760,172.646032
Kaliganj,Nadia,334,82,30164,347360,297.235952
Kalyani,Nadia,114,27,10184,118560,101.451792
Karimpur-1,Nadia,167,41,14999,173680,148.617976
Karimpur-Ii,Nadia,197,48,17717,204880,175.31581599999998
Krishnaganj,Nadia,129,31,11540,134160,114.80071199999999
Krishnagar-I,Nadia,959,238,86893,997360,853.4409519999999
Krishnagar-Ii,Nadia,224,55,20166,232960,199.343872
Nabadwip,Nadia,122,29,10916,126880,108.57121599999999
Nakashipara,Nadia,376,93,33962,391040,334.61292799999995
Ranaghat-I,Nadia,167,41,14999,173680,148.617976
Ranaghat-Ii,Nadia,421,104,38043,437840,374.65968799999996
Santipur,Nadia,224,55,20166,232960,199.343872
Tehatta-I,Nadia,141,34,12628,146640,125.47984799999999
Tehatta-Ii,Nadia,205,50,18436,213200,182.43524
Asansol,Paschim Barddhaman,1564,387,141592,1626560,1391.847392
Barabani,Paschim Barddhaman,42,9,3639,43680,37.376976
Faridpur - Durgapur,Paschim Barddhaman,65,15,5716,67600,57.84532
Jamuria,Paschim Barddhaman,92,22,8172,95680,81.873376
Kanksa,Paschim Barddhaman,261,64,23486,271440,232.27120799999997
Ondal,Paschim Barddhaman,62,14,5433,64480,55.175535999999994
Pandaveswar,Paschim Barddhaman,142,34,12705,147680,126.369776
Raniganj,Paschim Barddhaman,112,27,9986,116480,99.671936
Salanpur,Paschim Barddhaman,100,24,8890,104000,88.9928
Arambagh,Hugli,209,50,18352,217360,185.99495199999998
Balagarh,Hugli,170,40,14897,176800,151.28776
Chanditala-I,Hugli,111,26,9672,115440,98.78200799999999
Chanditala-Ii,Hugli,126,30,10998,131040,112.13092799999998
Chinsurah-Magrah,Hugli,977,236,86428,1016080,869.459656
Dhaniakhali,Hugli,256,61,22529,266240,227.82156799999996
Goghat-I,Hugli,75,17,6477,78000,66.74459999999999
Goghat-Ii,Hugli,122,29,10636,126880,108.57121599999999
Haripal,Hugli,174,41,15251,180960,154.84747199999998
Jangipara,Hugli,154,36,13478,160160,137.048912
Khanakul-I,Hugli,189,45,16581,196560,168.196392
Khanakul-Ii,Hugli,95,22,8253,98800,84.54316
Pandua,Hugli,260,62,22880,270400,231.38128
Polba-Dadpur,Hugli,237,57,20823,246480,210.91293599999997
Pursurah,Hugli,91,21,7894,94640,80.983448
Singur,Hugli,189,45,16581,196560,168.196392
Sirampur-Uttarpara,Hugli,233,56,20486,242320,207.35322399999998
Tarakeswar,Hugli,162,38,14193,168480,144.16833599999998
Amta-I,Haora,76,18,6704,79040,67.634528
Amta-Ii,Haora,31,7,2642,32240,27.587767999999997
Bagnan-I,Haora,53,12,4620,55120,47.166183999999994
Bagnan-Ii,Haora,38,8,3258,39520,33.817264
Bally-Jagacha,Haora,262,64,23551,272480,233.16113599999997
Domjur,Haora,69,16,6078,71760,61.40503199999999
Jagatballavpur,Haora,76,18,6704,79040,67.634528
Panchla,Haora,46,10,4003,47840,40.936688
Sankrail-H,Haora,65,15,5708,67600,57.84532
Shyampur-I,Haora,53,12,4620,55120,47.166183999999994
Shyampur-Ii,Haora,61,14,5358,63440,54.285607999999996
Udaynarayanpur,Haora,46,10,4003,47840,40.936688
Uluberia-I,Haora,76,18,6704,79040,67.634528
Uluberia-Ii,Haora,35,8,2991,36400,31.147479999999995
Dhupguri,Jalpaiguri,470,111,40807,488800,418.26616
Jalpaiguri,Jalpaiguri,694,165,60329,721760,617.6100319999999
Mal,Jalpaiguri,341,80,29563,354640,303.465448
Matiali,Jalpaiguri,93,21,7935,96720,82.76330399999999
Maynaguri,Jalpaiguri,354,84,30685,368160,315.034512
Nagrakata,Jalpaiguri,69,16,5840,71760,61.40503199999999
Rajganj,Jalpaiguri,358,85,31034,372320,318.594224
Binpur-I,Jhargram,19,4,1584,19760,16.908632
Binpur-Ii,Jhargram,34,8,2976,35360,30.257551999999997
Gopiballav Pur -Ii,Jhargram,15,3,1222,15600,13.34892
Gopiballavpur-I,Jhargram,15,3,1222,15600,13.34892
Jambani,Jhargram,15,3,1222,15600,13.34892
Jhargram,Jhargram,27,6,2339,28080,24.028055999999996
Nayagram,Jhargram,23,5,1972,23920,20.468344
Sankrail-J,Jhargram,15,3,1222,15600,13.34892
