block,district,10%_conversion_pv_size,10%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,pv_capex_usd,pv_capex_inr_lakh
Suti-Ii,Murshidabad,90,21,7921,93600,80.09351999999998
Chopra,Uttar Dinajpur,52,12,4433,54080,46.276256
Goalpokhar Ii,Uttar Dinajpur,60,14,5143,62400,53.39568
Goalpokhar-I,Uttar Dinajpur,60,14,5143,62400,53.39568
Hemtabad,Uttar Dinajpur,28,6,2312,29120,24.917984
Islampur,Uttar Dinajpur,56,13,4786,58240,49.835968
Itahar,Uttar Dinajpur,60,14,5143,62400,53.39568
Kaliaganj,Uttar Dinajpur,48,11,4077,49920,42.71654399999999
Karandighi,Uttar Dinajpur,80,18,6901,83200,71.19424
Raiganj,Uttar Dinajpur,163,39,14264,169520,145.05826399999998
Bamongola,Maldah,53,12,4673,55120,47.166183999999994
Chanchal-I,Maldah,91,22,8148,94640,80.983448
Chanchal-Ii,Maldah,91,22,8148,94640,80.983448
English Bazar,Maldah,233,57,21140,242320,207.35322399999998
Gazole,Maldah,147,36,13290,152880,130.819416
Habibpur,Maldah,91,22,8148,94640,80.983448
Harishchandrapur-I,Maldah,91,22,8148,94640,80.983448
Harishchandrapur-Ii,Maldah,94,23,8427,97760,83.65323199999999
Kaliachak-I,Maldah,60,14,5313,62400,53.39568
Kaliachak-Ii,Maldah,75,18,6690,78000,66.74459999999999
Kaliachak-Iii,Maldah,143,35,12899,148720,127.25970399999999
Manikchak,Maldah,46,11,4034,47840,40.936688
Old Malda,Maldah,128,31,11549,133120,113.91078399999998
Ratua-I,Maldah,105,25,9435,109200,93.44244
Ratua-Ii,Maldah,91,22,8148,94640,80.983448
Ausgram-I,Barddhaman,8,1,570,8320,7.119423999999999
Ausgram-Ii,Barddhaman,16,3,1284,16640,14.238847999999997
Bhatar,Barddhaman,39,9,3370,40560,34.707192
Burdwan-I,Barddhaman,31,7,2648,32240,27.587767999999997
Burdwan-Ii,Barddhaman,23,5,1921,23920,20.468344
Galsi -I,Barddhaman,35,8,3006,36400,31.147479999999995
Galsi-Ii,Barddhaman,23,5,1921,23920,20.468344
Jamal Pur,Barddhaman,31,7,2648,32240,27.587767999999997
Kalna Ii,Barddhaman,31,7,2648,32240,27.587767999999997
Kalna-I,Barddhaman,20,4,1648,20800,17.79856
Katwa-I,Barddhaman,20,4,1648,20800,17.79856
Katwa-Ii,Barddhaman,20,4,1648,20800,17.79856
Ketugram-Ii,Barddhaman,20,4,1648,20800,17.79856
Ketugram_I,Barddhaman,27,6,2274,28080,24.028055999999996
Khandaghosh,Barddhaman,20,4,1648,20800,17.79856
Mangolkote,Barddhaman,35,8,3006,36400,31.147479999999995
Manteswar,Barddhaman,35,8,3006,36400,31.147479999999995
Memari-1,Barddhaman,20,4,1648,20800,17.79856
Memari-Ii,Barddhaman,31,7,2648,32240,27.587767999999997
Purbasthali-I,Barddhaman,27,6,2274,28080,24.028055999999996
Purbasthali-Ii,Barddhaman,31,7,2648,32240,27.587767999999997
Raina-I,Barddhaman,23,5,1921,23920,20.468344
Raina-Ii,Barddhaman,20,4,1648,20800,17.79856
Baruipur,South Twenty Four Parganas,111,26,9854,115440,98.78200799999999
Basanti,South Twenty Four Parganas,95,23,8408,98800,84.54316
Bhangar-I,South Twenty Four Parganas,84,20,7410,87360,74.753952
Bhangar-Ii,South Twenty Four Parganas,61,14,5346,63440,54.285607999999996
Bishnupur-I,South Twenty Four Parganas,76,18,6698,79040,67.634528
Bishnupur-Ii,South Twenty Four Parganas,50,11,4339,52000,44.4964
Budge Budge-I,South Twenty Four Parganas,61,14,5346,63440,54.285607999999996
Budge Budge-Ii,South Twenty Four Parganas,57,13,4983,59280,50.725896
Canning-I,South Twenty Four Parganas,54,12,4711,56160,48.05611199999999
Canning-Ii,South Twenty Four Parganas,111,26,9854,115440,98.78200799999999
Diamond Harbour-I,South Twenty Four Parganas,57,13,4983,59280,50.725896
Diamond Harbour-Ii,South Twenty Four Parganas,42,9,3625,43680,37.376976
Falta,South Twenty Four Parganas,76,18,6698,79040,67.634528
Gosaba,South Twenty Four Parganas,92,22,8141,95680,81.873376
Jaynagar-I,South Twenty Four Parganas,61,14,5346,63440,54.285607999999996
Jaynagar-Ii,South Twenty Four Parganas,65,15,5704,67600,57.84532
Kak Dwip,South Twenty Four Parganas,54,12,4711,56160,48.05611199999999
Kulpi,South Twenty Four Parganas,80,19,7051,83200,71.19424
Kultali,South Twenty Four Parganas,92,22,8141,95680,81.873376
Magra Hat-I,South Twenty Four Parganas,65,15,5704,67600,57.84532
Magra Hat-Ii,South Twenty Four Parganas,107,25,9482,111280,95.222296
Mandirbazar,South Twenty Four Parganas,54,12,4711,56160,48.05611199999999
Mathurapur I,South Twenty Four Parganas,61,14,5346,63440,54.285607999999996
Mathurapur-Ii,South Twenty Four Parganas,46,10,3990,47840,40.936688
Namkhana,South Twenty Four Parganas,57,13,4983,59280,50.725896
Pathar Pratima,South Twenty Four Parganas,111,26,9854,115440,98.78200799999999
Sagar,South Twenty Four Parganas,54,12,4711,56160,48.05611199999999
Sonar Pur,South Twenty Four Parganas,145,35,12921,150800,129.03956
Thakurpukur Mahestola,South Twenty Four Parganas,232,56,20785,241280,206.46329599999999
Kolkata,Kolkata,6318,1552,555642,6570720,5622.565103999999
Arsha,Puruliya,23,5,1998,23920,20.468344
Bagmundi,Puruliya,19,4,1609,19760,16.908632
Balarampur,Puruliya,19,4,1609,19760,16.908632
Barabazar,Puruliya,23,5,1998,23920,20.468344
Bundwan,Puruliya,15,3,1236,15600,13.34892
Hura,Puruliya,23,5,1998,23920,20.468344
Jaipur,Puruliya,15,3,1236,15600,13.34892
Jhalda-I,Puruliya,23,5,1998,23920,20.468344
Jhalda-Ii,Puruliya,15,3,1236,15600,13.34892
Kashipur,Puruliya,26,6,2284,27040,23.138128
Manbazar-I,Puruliya,23,5,1998,23920,20.468344
Manbazar-Ii,Puruliya,15,3,1236,15600,13.34892
Neturia,Puruliya,19,4,1609,19760,16.908632
Para,Puruliya,26,6,2284,27040,23.138128
Puncha,Puruliya,15,3,1236,15600,13.34892
Purulia-I,Puruliya,19,4,1609,19760,16.908632
Purulia-Ii,Puruliya,45,11,4052,46800,40.04675999999999
Raghunath Pur-I,Puruliya,15,3,1236,15600,13.34892
Raghunathpur-Ii,Puruliya,11,2,867,11440,9.789207999999999
Santuri,Puruliya,11,2,867,11440,9.789207999999999
Darjeeling-Pulbazar,Darjiling,93,21,7948,96720,82.76330399999999
Jore Bunglow-Sukiapokhri,Darjiling,33,7,2702,34320,29.367624
Kharibari,Darjiling,16,3,1224,16640,14.238847999999997
Kurseong,Darjiling,20,4,1579,20800,17.79856
Matigara,Darjiling,25,5,2014,26000,22.2482
Mirik,Darjiling,12,2,883,12480,10.679135999999998
Naxal Bari,Darjiling,29,6,2364,30160,25.807911999999998
Phansidewa,Darjiling,33,7,2702,34320,29.367624
Rangli Rangliot,Darjiling,16,3,1224,16640,14.238847999999997
Siliguri,Darjiling,16,3,1224,16640,14.238847999999997
Balurghat,Dakshin Dinajpur,108,26,9519,112320,96.11222399999998
Bansihari,Dakshin Dinajpur,39,9,3332,40560,34.707192
Gangarampur,Dakshin Dinajpur,50,11,4314,52000,44.4964
Harirampur,Dakshin Dinajpur,43,10,3694,44720,38.266904
Hili,Dakshin Dinajpur,16,3,1262,16640,14.238847999999997
Kumarganj,Dakshin Dinajpur,35,8,2978,36400,31.147479999999995
Kushmandi,Dakshin Dinajpur,47,11,4045,48880,41.826615999999994
Tapan,Dakshin Dinajpur,66,15,5746,68640,58.735248
Gorubathan,Kalimpong,0,0,0,0,0.0
Kalimpong-I,Kalimpong,0,0,0,0,0.0
Kalimpong-Ii,Kalimpong,0,0,0,0,0.0
Chakdah,Nadia,110,26,9817,114400,97.89208
Chapra,Nadia,126,30,11269,131040,112.13092799999998
Hanskhali,Nadia,152,37,13618,158080,135.269056
Haringhata,Nadia,84,20,7453,87360,74.753952
Kaliganj,Nadia,144,35,12907,149760,128.149632
Kalyani,Nadia,50,11,4369,52000,44.4964
Karimpur-1,Nadia,72,17,6365,74880,64.074816
Karimpur-Ii,Nadia,88,21,7826,91520,78.31366399999999
Krishnaganj,Nadia,57,13,5022,59280,50.725896
Krishnagar-I,Nadia,413,102,37321,429520,367.540264
Krishnagar-Ii,Nadia,99,24,8817,102960,88.10287199999999
Nabadwip,Nadia,54,12,4742,56160,48.05611199999999
Nakashipara,Nadia,163,40,14633,169520,145.05826399999998
Ranaghat-I,Nadia,72,17,6365,74880,64.074816
Ranaghat-Ii,Nadia,182,44,16355,189280,161.966896
Santipur,Nadia,99,24,8817,102960,88.10287199999999
Tehatta-I,Nadia,61,14,5371,63440,54.285607999999996
Tehatta-Ii,Nadia,91,22,8092,94640,80.983448
Asansol,Paschim Barddhaman,843,208,76236,876720,750.2093039999999
Barabani,Paschim Barddhaman,23,5,1918,23920,20.468344
Faridpur - Durgapur,Paschim Barddhaman,35,8,2997,36400,31.147479999999995
Jamuria,Paschim Barddhaman,50,11,4356,52000,44.4964
Kanksa,Paschim Barddhaman,142,34,12705,147680,126.369776
Ondal,Paschim Barddhaman,35,8,2997,36400,31.147479999999995
Pandaveswar,Paschim Barddhaman,77,18,6815,80080,68.524456
Raniganj,Paschim Barddhaman,62,14,5433,64480,55.175535999999994
Salanpur,Paschim Barddhaman,54,12,4721,56160,48.05611199999999
Arambagh,Hugli,75,17,6477,78000,66.74459999999999
Balagarh,Hugli,63,14,5419,65520,56.06546399999999
Chanditala-I,Hugli,40,9,3376,41600,35.59712
Chanditala-Ii,Hugli,48,11,4081,49920,42.71654399999999
Chinsurah-Magrah,Hugli,343,82,30241,356720,305.245304
Dhaniakhali,Hugli,91,21,7894,94640,80.983448
Goghat-I,Hugli,28,6,2314,29120,24.917984
Goghat-Ii,Hugli,44,10,3739,45760,39.156831999999994
Haripal,Hugli,63,14,5419,65520,56.06546399999999
Jangipara,Hugli,56,13,4788,58240,49.835968
Khanakul-I,Hugli,67,15,5769,69680,59.625175999999996
Khanakul-Ii,Hugli,36,8,3023,37440,32.037408
Pandua,Hugli,95,22,8253,98800,84.54316
Polba-Dadpur,Hugli,83,19,7187,86320,73.864024
Pursurah,Hugli,36,8,3023,37440,32.037408
Singur,Hugli,67,15,5769,69680,59.625175999999996
Sirampur-Uttarpara,Hugli,83,19,7187,86320,73.864024
Tarakeswar,Hugli,59,13,5060,61360,52.505751999999994
Amta-I,Haora,35,8,2991,36400,31.147479999999995
Amta-Ii,Haora,16,3,1284,16640,14.238847999999997
Bagnan-I,Haora,27,6,2276,28080,24.028055999999996
Bagnan-Ii,Haora,19,4,1546,19760,16.908632
Bally-Jagacha,Haora,118,28,10508,122720,105.01150399999999
Domjur,Haora,31,7,2642,32240,27.587767999999997
Jagatballavpur,Haora,35,8,2991,36400,31.147479999999995
Panchla,Haora,23,5,1920,23920,20.468344
Sankrail-H,Haora,31,7,2642,32240,27.587767999999997
Shyampur-I,Haora,27,6,2276,28080,24.028055999999996
Shyampur-Ii,Haora,31,7,2642,32240,27.587767999999997
Udaynarayanpur,Haora,23,5,1920,23920,20.468344
Uluberia-I,Haora,35,8,2991,36400,31.147479999999995
Uluberia-Ii,Haora,16,3,1284,16640,14.238847999999997
Dhupguri,Jalpaiguri,325,77,28156,338000,289.22659999999996
Jalpaiguri,Jalpaiguri,482,114,41845,501280,428.9452959999999
Mal,Jalpaiguri,237,56,20489,246480,210.91293599999997
Matiali,Jalpaiguri,65,15,5494,67600,57.84532
Maynaguri,Jalpaiguri,245,58,21195,254800,218.03236
Nagrakata,Jalpaiguri,49,11,4099,50960,43.60647199999999
Rajganj,Jalpaiguri,249,58,21533,258960,221.592072
Binpur-I,Jhargram,12,2,956,12480,10.679135999999998
Binpur-Ii,Jhargram,19,4,1584,19760,16.908632
Gopiballav Pur -Ii,Jhargram,8,1,582,8320,7.119423999999999
Gopiballavpur-I,Jhargram,8,1,582,8320,7.119423999999999
Jambani,Jhargram,8,1,582,8320,7.119423999999999
Jhargram,Jhargram,15,3,1222,15600,13.34892
Nayagram,Jhargram,12,2,956,12480,10.679135999999998
Sankrail-J,Jhargram,8,1,582,8320,7.119423999999999
